2017S009997    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Bac de Roda / Diagonal                            ,Thursday,November,Afternoon,2
2017S004372    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Pellaires                                         ,Wednesday,May,Morning,1
2017S004224    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Pellaires                                         ,Friday,May,Morning,0
2017S003904    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Diagonal                                          ,Wednesday,May,Morning,1
2017S005550    ,Sant Martí,el Poblenou,Bilbao / Ramon Turró                              ,Sunday,June,Afternoon,3
2017S003533    ,Sant Martí,el Poblenou,Tànger / Poblenou                                 ,Thursday,April,Afternoon,1
2017S007185    ,Sant Martí,el Poblenou,Antic de València                                 ,Saturday,August,Morning,0
2017S003838    ,Sant Martí,el Poblenou,Pujades                                           ,Sunday,April,Morning,2
2017S008465    ,Sant Martí,el Poblenou,Litoral (Besòs)                                   ,Saturday,October,Afternoon,2
2017S003629    ,Sant Martí,el Poblenou,Litoral (Besòs)                                   ,Sunday,April,Afternoon,5
2017S004526    ,Sant Martí,el Poblenou,Litoral (Llobregat)                               ,Monday,May,Morning,1
2017S002436    ,Sant Martí,el Poblenou,RDA LITORAL(LLOBRE                                ,Monday,March,Morning,1
2017S003016    ,Sant Martí,el Parc i la Llacuna del Poblenou,Buenaventura Muñoz / Meridiana                    ,Saturday,April,Afternoon,1
2017S003290    ,Sant Martí,el Parc i la Llacuna del Poblenou,Marina / Llull                                    ,Monday,April,Afternoon,2
2017S004342    ,Sant Martí,el Parc i la Llacuna del Poblenou,Almogàvers / Sardenya                             ,Tuesday,May,Morning,1
2017S006013    ,Sant Martí,el Parc i la Llacuna del Poblenou,Marina / Buenaventura Muñoz                       ,Tuesday,July,Morning,1
2017S000456    ,Sant Martí,el Parc i la Llacuna del Poblenou,ALMOGÀVERS                                        ,Tuesday,January,Afternoon,1
2017S007632    ,Sant Martí,el Parc i la Llacuna del Poblenou,Castillejos / Meridiana                           ,Friday,September,Morning,1
2017S005194    ,Sant Martí,el Parc i la Llacuna del Poblenou,Llull / Zamora                                    ,Tuesday,June,Afternoon,1
2017S009929    ,Sant Martí,el Parc i la Llacuna del Poblenou,Buenaventura Muñoz / Meridiana                    ,Tuesday,November,Afternoon,1
2017S010245    ,Sant Martí,el Parc i la Llacuna del Poblenou,Glòries Catalanes                                 ,Monday,December,Morning,1
2017S005770    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària                                      ,Monday,July,Afternoon,1
2017S007662    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària / Provençals                         ,Friday,September,Night,0
2017S010115    ,Sant Martí,el Parc i la Llacuna del Poblenou,Diagonal / Ciutat de Granada                      ,Monday,December,Afternoon,1
2017S008757    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral                                           ,Sunday,October,Afternoon,1
2017S008323    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària                                      ,Saturday,July,Morning,2
2017S007902    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària                                      ,Sunday,September,Night,1
2017S010551    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat)                               ,Thursday,December,Night,2
2017S005323    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Josep Pla / Garcia Fària                          ,Saturday,June,Night,2
2017S006639    ,Sant Martí,el Parc i la Llacuna del Poblenou,Badajoz                                           ,Monday,July,Morning,1
2017S006839    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,B-10 (Llobregat)                                  ,Tuesday,August,Morning,2
2017S008561    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat)                               ,Wednesday,October,Morning,0
2017S009139    ,Sant Martí,el Parc i la Llacuna del Poblenou,Badajoz                                           ,Saturday,November,Afternoon,3
2017S004670    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral                                           ,Friday,May,Afternoon,2
2017S005668    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral                                           ,Thursday,June,Afternoon,1
2017S008675    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Bac de Roda                                       ,Friday,October,Afternoon,1
2017S010420    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat)                               ,Saturday,December,Afternoon,1
2017S002461    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,CTRA B-10 (LLOBRE)                                ,Tuesday,March,Morning,1
2017S009070    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat)                               ,Friday,November,Morning,1
2017S006098    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Llevant / Diagonal                                ,Thursday,July,Morning,1
2017S004792    ,Sant Martí,el Parc i la Llacuna del Poblenou,Badajoz                                           ,Wednesday,May,Morning,2
2017S002477    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,RDA LITORAL(BESÒS)                                ,Tuesday,March,Afternoon,1
2017S000327    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,RDA LITORAL(BESÒS)                                ,Friday,January,Afternoon,3
2017S001205    ,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,RDA LITORAL(LLOBRE                                ,Monday,February,Afternoon,1
